Question,Option A,Option B,Option C,Option D,Answer,Category
1. විදුලි සේවා සංස්ථාවේ නිලධාරීන්ගේ වගකීම් හා තනතුරු අනුව නිවැරදි අනුපිළිවෙළින් කාණ්ඩ ගත කිරීම තෝරන්න.,"(1) ඉහළ මට්ටමේ කළමනාකරුවන්, අංශ භාර කළමනාකරුවන්, පහළ මට්ටමේ කළමනාකරුවන් ","(2) ඉහළ මට්ටමේ කළමනාකරුවන්, මධ්‍යම මට්ටමේ කළමනාකරුවන්, පහළ මට්ටමේ කළමනාකරුවන් ","(3) ප්‍රධාන විධායක නිලධාරි, ඉහළ මට්ටමේ කළමනාකරුවන්, පහළ මට්ටමේ කළමනාකරුවන් ","(4) ප්‍රධාන විධායක නිලධාරි, මධ්‍යම මට්ටමේ කළමනා කරුවන්, පහළ මට්ටමේ කළමනාකරුවන් ",2,Structured Questions MCQ
2. කැමිලස් ප්‍රනාන්දු මහතා අයත් වනුයේ ,(1) ප්‍රධාන විධායක නිලධාරි කාණ්ඩයට ය ,(2) ප්‍රධාන මෙහෙයුම් නිලධාරි කාණ්ඩයට ය ,(3) ඉහළ මට්ටමේ කළමනාකාරිත්වයට ය ,(4) මධ්‍යම මට්ටමේ කළමනාකාරිත්වයට ය ,3,Structured Questions MCQ
3. විදුලි සේවා සංස්ථාවේ පහළ මට්ටමේ කළමනාකාරිත්වයට අයත් වන්නේ කවුරුන්ද? ,(1) ගණකාධිකාරීන් ,(2) සහකාර කළමනාකරුවන් ,(3) අංශ භාර කළමනාකරුවන් ,(4) වැඩමූලිකයින් ,4,Structured Questions MCQ
4. විදුලි සේවා සංස්ථාව මගින් නව ග්‍රාමීය විදුලි යෝජනා ක්‍රමයක් ක්‍රියාත්මක කිරීමට සැලසුම් කරයි. ඒ අනුව එම විදුලි යෝජනා ක්‍රමය නිසි කාල රාමුවක් තුළ ඉදිකිරීමේ වගකීම පැවරෙනුයේ ,(1) ඉහළ මට්ටමේ කළමනාකාරිත්වයට ය ,(2) මධ්‍යම මට්ටමේ කළමනාකාරිත්වයටය ,(3) සාමාන්‍යාධිකාරිටය ,(4) අධ්‍යක්ෂ මණ්ඩලයට ය ,2,Structured Questions MCQ
5. විදුලි සේවා සංස්ථාවේ සහාය සේවා පද්ධතිය සමඟ සෘජු ලෙස සම්බන්ධ වන නිලධාරි කාණ්ඩය වනුයේ ,(1) ඉහළ මට්ටමේ කළමනාකරුවන් ය ,(2) පහළ මට්ටමේ කළමනාකරුවන් ය ,(3) මධ්‍යම මට්ටමේ කළමනා කරුවන්ය ,(4) අධ්‍යක්ෂක මණ්ඩලය ය ,2,Structured Questions MCQ
6. කැමිලස් ප්‍රනාන්දු මහතාගේ නායකත්ව ශෛලියේ ලක්ෂණයක් නොවන්නේ ,(1) තීරණ ගැනීමේ තනි අයිතිය ඔහු සතු වීම ය ,(2) කැමිලස් ප්‍රනාන්දු මහතාගේ ප්‍රතිරූපය පිළිබිඹු කෙරෙන පරිසරයක් සංස්ථාව තුළ තිබීම ය ,(3) සංස්ථාව තුළ පහළ සේවක භවතුන්ගේ නිර්මාණශීලී දායකත්වයකට ඉඩ තිබීම ය ,(4) සංස්ථාව තුළ දැඩි විනයක් හා පාලනයක් ගෙනයාම ය ,3,Structured Questions MCQ
7. කැමිලස් ප්‍රනාන්දු මහතාගේ නායකත්ව ශෛලියට ප්‍රතිවිරුද්ධ නායකත්ව ශෛලියක් විය හැක්කේ ,(1) අධිකාරී නායකත්ව ශෛලියයි ,(2) පුර්ණ පාලන නායකත්ව ශෛලියයි ,(3) සහභාගිත්ව (ප්‍රජාතාන්ත්‍රික) නායකත්ව ශෛලියයි ,(4) නිදහස් බලවාදී නායකත්ව ශෛලීයයි ,3,Structured Questions MCQ
8. කැමිලස් ප්‍රනාන්දු මහතාගේ නායකත්ව ශෛලිය තුළින් විදුලි සේවා සංස්ථාවට ලබා ගත හැකි යහපත් ප්‍රතිඵලයකි ,(1) සංස්ථාවේ අර්බුදකාරී අවස්ථාවල දී පහසුවෙන් තීරණ වලට එළැඹීමට හැකිවීම ,(2) සංස්ථාව තුළ කැපී පෙනෙන ක්‍රියාකාරීන් බිහි නොවීම ,(3) යටත් සේවක පිරිසේ දායකත්වය සංස්ථාවට ලබාගත හැකිවීම ,(4) සේවකයන් තුළ නායකත්වය කෙරෙහි විශ්වාසයක් ඇති වීම ,1,Structured Questions MCQ
9. පහත සඳහන් ගුණාංග අතුරින් යහපත් ආයතන ප්‍රධානියකු තුළ තිබිය යුතු ගුණාංගයක් තෝරන්න ,(1) ප්‍රධානියා නිතරම අපි ගැන කතා කරයි ,(2) ප්‍රධානියා සොයන්නේ වැරැද්ද ඇති තැනයි ,(3) ප්‍රධානියා සියලු දෙනා අතර බලය පතුරුවන්නෙකි ,(4) ප්‍රධානියා සිය පිරිස දිරිගන්වන්නෙකි ,4,Structured Questions MCQ
10. පහත සඳහන් ප්‍රකාශ අතුරෙන් අවිධිමත් සංවිධාන පිළිබඳ වඩාත් නිවැරදි ප්‍රකාශය කුමක්ද? ,(1) විධිමත් සංවිධාන තුළ අවිධිමත් සංවිධාන බිහි විය හැකි ය ,(2) අවිධිමත් සංවිධාන තුළ නෛතික තත්ත්වයක් ඇත ,(3) විධිමත් සංවිධාන තුළ අවිධිමත් සංවිධාන අනිවාර්යයෙන් ම දක්නට ලැබෙන ලක්ෂණයකි ,(4) අවිධිමත් සංවිධානයක සාමාජිකයකුට වෙනත් අවිධිමත් සංවිධානයක සාමාජිකත්වය ලබාගත නොහැකි ය ,1,Structured Questions MCQ